怒火·重案 怒火‎ (2021), 甄子丹 , 谢霆锋 , 秦岚 , 谭耀文 , 黄德斌 , 吴浩康 , 何珮瑜 , 杨天宇
扫毒 掃毒‎ (2013), 古天乐 , 张家辉 , 刘青云 , 袁泉 , 卢海鹏 , 吴廷烨 , 林国斌 , 卢惠光
新警察故事‎ (2004), 成龙 , 谢霆锋 , 杨采妮 , 蔡卓妍 , 吴彦祖 , 安志杰 , 尹子维 , 王杰
宝贝计划 寶貝計劃‎ (2006), 成龙 , 古天乐 , 蔡志强 , 许冠文 , 蔡卓妍 , 高圆圆 , 陈宝国 , 元彪
天若有情‎ (1990), 刘德华 , 吴倩莲 , 吴孟达 , 朱铁和 , 刘江 , 黄光亮 , 林聪
男儿本色 男兒本色‎ (2007), 谢霆锋 , 余文乐 , 房祖名 , 吴京 , 安志杰 , 江若琳
我是谁 我是誰‎ (1998), 成龙 , 法拉美穗 , 山本未来 , 罗恩·斯梅尔扎克 , 艾德·尼尔森 , 汤姆·庞珀特 , 格洛里·西蒙 , 弗雷德·范迪特马希
新少林寺‎ (2011), 刘德华 , 谢霆锋 , 范冰冰 , 成龙 , 吴京 , 余少群 , 熊欣欣 , 于海
保持通话 保持通話‎ (2008), 古天乐 , 徐熙媛 , 张家辉 , 刘烨 , 樊少皇 , 龚蓓苾 , 张兆辉 , 陈诗慧
危城‎ (2016), 刘青云 , 古天乐 , 彭于晏 , 吴京 , 袁泉 , 江疏影 , 廖启智 , 释彦能
冲锋队之怒火街头 衝鋒隊之怒火街頭‎ (1996), 刘青云 , 陈小春 , 李绮虹 , 于荣光 , 吴镇宇 , 张达明 , 黄子华 , 林尚义
特警新人类‎ (1999), 谢霆锋 , 冯德伦 , 李灿森 , 吴彦祖 , 叶佩雯 , 仲村亨 , 吴镇宇 , 林家栋
三岔口‎ (2005), 吴彦祖 , 郭富城 , 郑伊健 , 罗嘉良 , 李心洁 , 宁静 , 于荣光 , 阮民安
全城戒备 全城戒備‎ (2010), 郭富城 , 舒淇 , 邹兆龙 , 张静初 , 吴京 , 张宝雯 , 铁男 , 元华
新仙鹤神针 新仙鶴神針‎ (1993), 梁朝伟 , 梅艳芳 , 关之琳 , 刘松仁 , 吴启华 , 徐少强 , 张铁林 , 刘锦玲
喵星人‎ (2017), 古天乐 , 马丽 , 刘楚恬 , 黄星羱 , 阮兆祥 , 卫诗雅 , 蔡一智 , 蔡一杰
双雄 雙雄‎ (2003), 黎明 , 郑伊健 , 林嘉欣 , 徐静蕾 , 吴镇宇 , 黄浩然 , 梁俊一 , 郭力行
天若有情2之天长地久 天若有情Ⅱ之天長地久‎ (1993), 郭富城 , 吴倩莲 , 郭晋安 , 黄秋生 , 关海山
精武门 精武門‎ (1995), 甄子丹 , 万绮雯 , 林志豪
特警新人类2：机动任务‎ (2000), 陈冠希 , 钟丽缇 , 颜颖思 , 冯德伦 , 李灿森 , 保罗·路德
哗！英雄 嘩！英雄‎ (1992), 刘德华 , 张曼玉 , 黄秋生 , 张耀扬 , 陈惠敏 , 张家辉 , 秦沛 , 成奎安
旺角的天空‎ (1995), 郑伟文 , 任达华 , 钟丽缇 , 黄柏文 , 于荣光 , 陈启泰 , 童爱玲 , 罗家英
天网联盟 天網聯盟‎ (2022), 刘昊然 , 陈伟霆 , 谢霆锋
欢乐时光 歡樂時光‎ (1995), 陈小春 , 张智霖 , 许志安 , 陈豪 , 谷德昭
新蜀山‎ (2023)
赤子雄风‎ (1990), 高雄 , 张家辉 , 尹天照 , 莫家尧 , 袁洁仪 , 林敬刚 , 冯素波 , 陈丽云
带子洪郎‎ (1991), 刘兆铭 , 罗美薇 , 莫少聪 , 吴孟达
伤城记 傷城記‎ (1995), 李南星 , 蓝洁瑛 , 张家辉 , 徐少强 , 吴毅将 , 谢韶光 , 王裕香
法律情‎ (1989), 李丽丽 , 罗伟平 , 梁雄威 , 关咏荷 , 李佩玲
虎穴奇兵‎ (1988), 戚健仲 , 麦德罗 , 陈欣健 , 张莽 , 马斯晨 , 楊昇 , 唐季礼 , 李殿朗 , 刘家辉
